id_territorio,barrio,barrio_normalizado,comuna,centroide_latitud,centroide_longitud,fuente_geojson,fecha_consulta,calidad_geo,requiere_validacion,motivo_validacion
T001,Agronomia,AGRONOMIA,15,-34.59295035,-58.48867319,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T002,Almagro,ALMAGRO,5,-34.60923219,-58.42174775,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T003,Balvanera,BALVANERA,3,-34.60910424,-58.40306570,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T004,Barracas,BARRACAS,4,-34.64640893,-58.38427503,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T005,Belgrano,BELGRANO,13,-34.55470351,-58.45010446,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T006,La Boca,LA BOCA,4,-34.63107039,-58.35682048,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T007,Boedo,BOEDO,5,-34.62996437,-58.41884274,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T008,Caballito,CABALLITO,6,-34.61683028,-58.44360532,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T009,Chacarita,CHACARITA,15,-34.58837422,-58.45418214,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T010,Coghlan,COGHLAN,12,-34.56063007,-58.47494567,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T011,Colegiales,COLEGIALES,13,-34.57464742,-58.45097020,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T012,Constitucion,CONSTITUCION,1,-34.62504850,-58.38439281,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T013,Flores,FLORES,7,-34.63680760,-58.45826954,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T014,Floresta,FLORESTA,10,-34.62769059,-58.48358803,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T015,Liniers,LINIERS,9,-34.64380065,-58.51912700,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
T016,Mataderos,MATADEROS,9,-34.65837766,-58.50173654,geo_barrios.geojson,2026-06-12,fuente_oficial,no,Centroide calculado desde poligono oficial
